customer_id,tenure,age,num_products,has_partner,has_dependents,contract,internet_service,online_security,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,churn
C00047,47,35,2,1,0,One year,No,1,0,0,Electronic check,30.93,1487.95,0
C00048,35,19,1,0,0,One year,DSL,1,1,1,Credit card,53.87,1898.04,0
C00049,36,27,1,0,0,Month-to-month,DSL,1,0,1,Bank transfer,35.55,1247.63,0
C00050,50,72,4,0,1,Month-to-month,DSL,0,0,0,Electronic check,39.57,2030.29,1
C00051,4,62,4,1,1,Month-to-month,No,1,0,1,Electronic check,28.11,141.98,0
C00052,2,67,3,0,0,Month-to-month,DSL,1,0,0,Electronic check,40.75,132.6,1
C00053,6,64,2,1,0,Month-to-month,DSL,1,1,0,Electronic check,55.96,354.78,0
C00054,54,29,1,0,0,Month-to-month,Fiber optic,0,0,0,Electronic check,48.25,2569.84,1
C00055,4,64,3,0,0,One year,Fiber optic,0,1,1,Mailed check,51.36,278.22,0
C00056,54,30,1,0,0,Month-to-month,No,1,0,1,Electronic check,40.86,2240.57,0
C00057,63,67,1,1,0,Month-to-month,Fiber optic,0,1,1,Electronic check,57.89,3673.78,0
C00058,18,64,2,1,1,Month-to-month,Fiber optic,1,0,1,Bank transfer,45.63,866.54,0
C00059,44,74,1,1,0,Month-to-month,No,0,1,1,Electronic check,34.65,1511.58,0
C00060,34,72,1,1,0,Month-to-month,DSL,0,0,1,Credit card,40.31,1399.15,0
C00061,62,28,1,1,1,Month-to-month,DSL,0,0,1,Electronic check,43.9,2716.45,0
C00062,14,36,1,0,0,Month-to-month,Fiber optic,0,1,0,Mailed check,53.58,713.28,0
C00063,48,52,3,0,0,Two year,Fiber optic,0,1,1,Bank transfer,64.71,3038.91,0
C00064,15,56,1,1,0,Month-to-month,Fiber optic,1,0,0,Electronic check,56.44,745.79,1
C00065,72,70,1,1,1,Month-to-month,DSL,1,1,1,Credit card,42.09,3049.7,0
C00066,62,43,1,1,0,Two year,Fiber optic,0,1,1,Mailed check,53.13,3257.07,0
C00067,40,63,1,1,0,Month-to-month,Fiber optic,1,0,1,Electronic check,60.44,2392.52,0
C00068,53,31,1,0,1,Two year,No,0,0,1,Credit card,28.52,1473.07,0
C00069,24,71,2,1,1,Month-to-month,No,0,0,1,Credit card,30.54,656.82,0
C00070,26,62,1,1,0,One year,DSL,1,0,1,Bank transfer,44.83,1218.94,0
C00071,60,61,2,1,1,One year,No,0,0,1,Electronic check,18.0,1181.4,0
C00072,41,41,4,1,1,Two year,DSL,0,0,1,Mailed check,37.96,1466.52,0
C00073,29,58,2,0,1,One year,No,1,0,0,Bank transfer,32.73,968.54,0
C00074,15,18,1,0,1,Month-to-month,Fiber optic,1,0,1,Electronic check,63.25,889.55,0
C00075,45,68,1,1,0,One year,Fiber optic,0,0,1,Mailed check,56.63,2588.8,0
C00076,65,60,3,0,0,Month-to-month,Fiber optic,0,0,1,Bank transfer,44.08,2935.82,0
C00077,71,72,2,0,0,One year,DSL,0,0,1,Bank transfer,32.56,2350.68,0
C00078,9,39,3,1,0,Month-to-month,DSL,0,0,0,Bank transfer,43.58,346.2,0
C00079,1,40,3,1,1,One year,DSL,1,0,1,Credit card,45.05,18.0,0
C00080,8,73,3,0,1,One year,No,0,1,1,Credit card,35.85,265.02,0
C00081,63,71,3,0,0,Two year,Fiber optic,0,1,1,Mailed check,49.19,3133.66,0
C00082,11,36,2,0,0,Month-to-month,DSL,0,0,0,Electronic check,39.68,425.44,1
C00083,8,35,1,0,0,One year,No,0,0,0,Credit card,26.56,247.05,0
C00084,35,29,4,0,0,Month-to-month,DSL,1,1,1,Electronic check,44.32,1551.82,0
C00085,35,72,2,1,1,Month-to-month,No,0,0,1,Electronic check,28.26,985.78,0
C00086,33,45,1,0,0,Month-to-month,Fiber optic,0,0,1,Bank transfer,49.09,1626.06,0
C00087,5,45,2,0,0,One year,Fiber optic,1,0,1,Bank transfer,48.85,242.38,0
C00088,41,50,2,0,0,One year,DSL,0,0,0,Bank transfer,38.07,1482.98,0
C00089,28,36,3,0,0,One year,No,0,0,1,Mailed check,26.49,694.16,0
C00090,7,45,2,0,1,Month-to-month,DSL,1,1,0,Credit card,49.02,425.62,0
C00091,72,69,1,0,0,One year,DSL,0,0,1,Credit card,37.92,2754.06,0
C00092,12,66,4,0,1,Month-to-month,Fiber optic,1,1,0,Bank transfer,68.34,910.19,1
C00093,34,54,3,0,0,Month-to-month,No,1,0,0,Mailed check,36.15,1184.79,0
C00094,33,43,2,1,0,Month-to-month,DSL,1,0,0,Mailed check,42.56,1404.26,1
C00095,48,52,1,1,0,One year,Fiber optic,0,0,1,Electronic check,54.97,2628.69,0
C00096,23,51,1,0,1,Month-to-month,Fiber optic,0,1,1,Bank transfer,44.51,971.49,1
C00097,62,52,2,1,0,Month-to-month,Fiber optic,1,0,0,Credit card,57.81,3500.15,0
C00098,37,57,1,1,0,One year,Fiber optic,1,0,0,Credit card,56.02,2023.26,0
C00099,44,33,1,1,0,Month-to-month,DSL,1,0,0,Mailed check,46.47,2097.06,1
C00100,35,55,2,1,0,Two year,Fiber optic,1,0,1,Credit card,52.39,1809.76,0
C00101,65,30,1,1,0,Month-to-month,Fiber optic,1,0,0,Credit card,59.18,3830.94,1
C00102,47,40,1,1,0,Month-to-month,DSL,0,1,1,Credit card,46.73,2195.84,0
C00103,3,71,1,0,0,Two year,Fiber optic,0,0,1,Credit card,54.33,171.13,0
C00104,1,39,1,0,0,Month-to-month,DSL,0,0,1,Credit card,35.62,20.56,0
C00105,5,33,2,1,0,One year,Fiber optic,0,1,0,Electronic check,60.56,283.36,0
C00106,14,45,1,0,0,Month-to-month,Fiber optic,0,1,1,Credit card,52.35,752.79,1
C00107,27,65,1,1,1,Month-to-month,No,0,0,0,Mailed check,22.64,692.75,0
C00108,9,52,2,0,0,One year,Fiber optic,0,1,1,Mailed check,64.15,546.57,1
C00109,15,62,4,0,1,Month-to-month,DSL,1,0,1,Credit card,49.15,660.71,0
C00110,42,63,2,0,0,Two year,DSL,0,1,1,Electronic check,54.6,2261.84,0
C00111,51,25,1,1,1,Month-to-month,Fiber optic,0,0,1,Electronic check,49.9,2539.91,1
C00112,63,61,1,0,0,Month-to-month,Fiber optic,1,0,1,Bank transfer,59.95,3684.78,1
C00113,52,72,3,0,0,One year,Fiber optic,1,1,0,Credit card,66.2,3447.37,0
C00114,4,72,1,1,1,Month-to-month,Fiber optic,0,0,1,Credit card,48.27,221.72,1
C00115,23,39,2,1,1,Month-to-month,No,0,0,1,Credit card,21.97,453.68,0
C00116,15,38,1,0,1,Two year,No,0,0,1,Credit card,32.07,466.28,0
C00117,43,43,1,1,1,One year,DSL,0,0,1,Credit card,41.42,1814.91,0
C00118,29,57,3,0,0,Month-to-month,Fiber optic,0,1,1,Electronic check,56.64,1640.97,1
C00119,36,38,2,0,0,One year,DSL,1,0,1,Electronic check,45.0,1627.84,0
C00120,13,42,2,1,0,Two year,Fiber optic,1,0,1,Electronic check,52.42,676.25,0
C00121,32,58,1,1,1,Month-to-month,Fiber optic,1,1,0,Electronic check,56.95,1826.94,0
C00122,71,18,1,0,0,Month-to-month,Fiber optic,0,1,1,Credit card,58.45,4228.91,1
C00123,59,23,2,1,1,Month-to-month,Fiber optic,0,0,0,Mailed check,34.5,2064.24,0
C00124,28,40,2,0,0,Two year,No,0,1,1,Credit card,26.47,639.39,0
C00125,66,68,1,1,0,One year,DSL,0,0,1,Bank transfer,30.75,2037.78,0
C00126,42,40,1,1,0,Two year,DSL,1,1,1,Bank transfer,39.93,1765.28,0
C00127,45,60,1,1,0,Two year,DSL,1,1,0,Mailed check,49.29,2220.49,0
C00128,62,60,4,1,1,Month-to-month,Fiber optic,0,1,1,Bank transfer,57.8,3493.25,0
C00129,57,40,2,1,0,Month-to-month,DSL,1,1,1,Bank transfer,52.62,2948.27,0
C00130,6,49,3,0,1,Month-to-month,Fiber optic,1,0,1,Electronic check,48.91,288.51,1
C00131,28,47,1,0,1,Month-to-month,DSL,0,0,1,Credit card,31.44,840.67,0
C00132,28,30,4,0,0,One year,DSL,0,0,1,Mailed check,40.83,1224.32,0
C00133,44,60,1,1,1,One year,DSL,0,1,0,Electronic check,47.56,2039.46,0
C00134,30,35,2,0,0,Month-to-month,DSL,0,1,1,Bank transfer,47.9,1434.69,0
C00135,62,40,3,0,0,Month-to-month,Fiber optic,0,0,0,Electronic check,42.9,2659.51,0
C00136,62,32,1,1,0,One year,Fiber optic,0,0,1,Credit card,54.14,3434.07,0
C00137,1,50,1,1,0,Month-to-month,DSL,1,1,1,Bank transfer,50.9,46.48,0
C00138,27,38,1,1,0,Month-to-month,Fiber optic,0,0,1,Credit card,45.02,1272.43,0
C00139,62,74,1,0,1,One year,DSL,0,1,0,Electronic check,41.87,2583.26,0
C00140,3,56,2,0,0,Month-to-month,Fiber optic,1,1,0,Credit card,55.54,160.51,1
C00141,70,40,2,1,0,Two year,Fiber optic,1,0,1,Mailed check,50.94,3547.18,0
C00142,72,44,2,0,0,Month-to-month,Fiber optic,0,0,1,Electronic check,55.48,3907.52,0
C00143,27,62,2,0,0,One year,No,0,1,1,Electronic check,37.6,1065.54,0
C00144,9,61,2,1,1,One year,Fiber optic,1,0,1,Electronic check,49.46,481.13,0
C00145,62,35,1,0,1,Month-to-month,No,1,0,1,Bank transfer,32.74,2029.01,0
C00146,37,41,1,1,0,Month-to-month,Fiber optic,1,0,1,Electronic check,58.01,2123.0,0
C00147,51,68,4,0,1,Month-to-month,No,0,0,0,Mailed check,19.87,951.83,0
C00148,44,64,1,1,0,Month-to-month,No,1,0,0,Bank transfer,37.99,1644.38,0
C00149,24,57,2,0,0,Month-to-month,DSL,0,1,0,Bank transfer,54.89,1315.65,1
C00150,59,68,1,0,0,One year,DSL,1,1,0,Bank transfer,51.58,3059.02,0
C00151,32,59,2,1,0,One year,Fiber optic,0,0,1,Bank transfer,49.08,1593.93,0
C00152,52,24,2,1,1,One year,Fiber optic,0,1,1,Electronic check,47.4,2419.2,0
C00153,62,67,1,1,0,Month-to-month,No,0,0,1,Mailed check,18.48,1102.27,0
C00154,58,65,1,1,0,One year,DSL,0,0,1,Electronic check,37.45,2168.47,0
C00155,52,37,2,0,0,Month-to-month,No,0,0,0,Bank transfer,32.46,1670.86,0
C00156,12,44,1,1,0,Two year,DSL,0,1,1,Bank transfer,44.19,564.12,0
C00157,39,23,1,1,0,Two year,DSL,0,1,1,Electronic check,51.13,1923.92,0
C00158,2,44,2,1,0,One year,No,0,0,1,Bank transfer,31.85,92.56,0
C00159,3,26,1,1,1,One year,DSL,1,0,0,Electronic check,41.01,126.05,0
C00160,56,70,3,1,1,Month-to-month,DSL,0,1,0,Bank transfer,51.29,2841.32,0
C00161,59,62,2,0,0,Month-to-month,DSL,1,0,1,Bank transfer,47.96,2845.72,0
C00162,2,74,1,1,1,Two year,No,1,1,1,Electronic check,32.11,93.81,0
C00163,2,48,2,1,0,Month-to-month,Fiber optic,0,0,1,Credit card,45.04,18.0,1
C00164,54,38,2,1,0,Month-to-month,No,0,1,1,Credit card,32.54,1854.6,0
C00165,1,43,1,0,0,Two year,Fiber optic,1,0,1,Electronic check,63.83,61.67,0
C00166,19,57,1,0,0,One year,Fiber optic,0,0,0,Mailed check,53.7,1043.35,0
C00167,2,65,1,0,1,Month-to-month,DSL,0,1,0,Electronic check,39.85,101.39,1
C00168,53,62,1,1,0,Month-to-month,DSL,0,0,1,Mailed check,55.84,2967.89,0
C00169,44,30,1,1,1,Month-to-month,Fiber optic,0,0,1,Mailed check,53.93,2346.83,1
C00170,32,66,1,0,0,One year,Fiber optic,0,0,0,Mailed check,44.07,1414.85,0
C00171,70,40,1,0,0,Month-to-month,DSL,1,0,1,Electronic check,43.51,3045.88,0
C00172,32,37,2,1,1,Two year,DSL,1,0,1,Electronic check,42.41,1371.32,0
C00173,68,54,2,1,0,One year,DSL,1,0,1,Bank transfer,40.8,2850.95,0
C00174,55,71,2,1,0,Month-to-month,Fiber optic,0,0,0,Mailed check,56.52,3093.36,1
C00175,56,70,2,0,0,Month-to-month,DSL,1,1,0,Electronic check,49.36,2718.26,0
C00176,17,45,3,1,0,Month-to-month,DSL,1,0,1,Mailed check,49.65,846.28,1
C00177,38,34,2,1,1,Two year,DSL,1,0,1,Mailed check,44.38,1649.66,0
C00178,24,45,2,0,0,Month-to-month,No,0,1,1,Bank transfer,33.2,741.22,0
C00179,69,58,1,0,0,Two year,DSL,0,1,0,Electronic check,42.01,2861.6,0
C00180,70,19,3,0,1,Month-to-month,No,1,0,0,Credit card,35.09,2386.58,0
C00181,11,42,1,1,0,Month-to-month,Fiber optic,0,0,0,Mailed check,46.11,442.92,0
C00182,16,67,1,0,0,Two year,Fiber optic,1,0,0,Bank transfer,54.85,950.64,0
C00183,59,58,2,0,0,Month-to-month,DSL,0,0,0,Credit card,37.15,2244.6,0
C00184,70,23,1,1,0,One year,Fiber optic,1,1,0,Electronic check,53.28,3727.95,0
C00185,3,28,1,1,0,Month-to-month,DSL,0,1,1,Bank transfer,43.21,75.48,0
C00186,20,74,2,0,0,Two year,DSL,0,1,1,Mailed check,36.11,628.34,0
C00187,59,55,2,1,1,Two year,No,0,0,1,Electronic check,36.78,2155.9,0
C00188,36,23,2,0,0,Two year,Fiber optic,1,0,1,Bank transfer,57.51,2102.83,0
C00189,19,62,3,1,0,Month-to-month,DSL,1,0,1,Electronic check,42.68,804.89,1
C00190,67,28,1,1,0,Month-to-month,Fiber optic,0,0,0,Bank transfer,41.16,2804.81,0
C00191,19,31,1,0,0,Month-to-month,Fiber optic,0,0,0,Mailed check,50.07,929.87,0
C00192,20,19,2,0,1,Month-to-month,Fiber optic,0,1,0,Bank transfer,56.14,1108.39,1
C00193,71,57,1,0,0,One year,Fiber optic,0,1,1,Credit card,57.09,4080.31,0
C00194,52,20,2,1,0,Month-to-month,DSL,1,0,0,Credit card,41.13,2071.86,0
C00195,33,72,1,0,0,Month-to-month,DSL,0,0,0,Mailed check,41.05,1364.72,0
C00196,40,70,1,1,0,One year,Fiber optic,0,0,0,Electronic check,59.55,2389.67,1
C00197,39,52,2,1,0,Two year,Fiber optic,1,1,1,Credit card,57.4,2227.0,1
C00198,1,50,2,0,0,Two year,Fiber optic,0,1,1,Bank transfer,60.18,127.11,1
C00199,11,41,2,1,0,Month-to-month,Fiber optic,1,0,0,Mailed check,54.93,638.68,0
C00200,57,36,1,1,0,Month-to-month,Fiber optic,0,1,0,Mailed check,54.29,3015.35,0
C00201,50,35,1,0,0,Month-to-month,Fiber optic,0,1,0,Electronic check,55.65,2763.43,0
C00202,23,66,1,1,0,Month-to-month,No,1,1,0,Mailed check,37.32,823.51,0
C00203,31,69,1,1,0,Month-to-month,DSL,0,0,0,Electronic check,40.7,1255.84,0
C00204,42,41,1,0,1,Two year,Fiber optic,0,0,0,Mailed check,54.83,2253.46,0
C00205,7,62,1,0,0,Month-to-month,No,1,0,1,Mailed check,39.51,223.76,0
C00206,16,52,2,1,1,Month-to-month,Fiber optic,1,0,0,Credit card,60.75,963.61,1
C00207,60,18,1,1,0,Month-to-month,Fiber optic,1,1,1,Bank transfer,56.88,3416.83,0
C00208,2,53,2,1,1,Month-to-month,DSL,1,0,0,Mailed check,45.29,49.45,0
C00209,1,42,3,1,0,Month-to-month,No,0,1,1,Electronic check,45.89,18.0,1
C00210,48,62,1,0,0,Month-to-month,Fiber optic,0,0,1,Bank transfer,45.14,2087.54,0
C00211,12,66,1,1,0,Month-to-month,Fiber optic,1,0,1,Mailed check,54.44,669.21,1
C00212,69,60,1,1,0,Month-to-month,DSL,0,0,1,Electronic check,33.94,2322.21,0
C00213,37,51,2,1,0,Month-to-month,DSL,0,0,1,Bank transfer,40.55,1470.51,0
C00214,32,42,1,1,0,One year,DSL,0,0,1,Mailed check,45.21,1488.39,0
C00215,9,33,1,0,0,Month-to-month,DSL,0,1,0,Mailed check,53.58,354.46,0
C00216,19,51,2,1,0,Month-to-month,No,0,1,0,Credit card,30.01,596.45,0
C00217,48,46,1,0,0,Two year,No,0,0,0,Electronic check,25.87,1312.83,0
C00218,3,36,2,0,0,Month-to-month,Fiber optic,1,1,0,Electronic check,67.9,99.11,1
C00219,20,40,2,0,0,One year,DSL,0,0,0,Mailed check,24.85,399.23,0
C00220,24,36,2,0,0,Two year,DSL,1,0,0,Electronic check,41.8,930.6,0
C00221,54,42,1,0,0,Month-to-month,Fiber optic,1,0,1,Credit card,59.86,3172.18,1
C00222,33,33,3,1,0,Two year,DSL,0,0,1,Credit card,31.49,1089.19,0
C00223,24,71,2,0,0,Two year,Fiber optic,0,0,1,Bank transfer,44.76,1060.78,0
C00224,72,68,1,0,0,Month-to-month,DSL,0,1,0,Credit card,51.3,3795.16,0
C00225,36,26,1,0,1,Two year,Fiber optic,0,1,0,Electronic check,45.06,1603.46,0
C00226,38,18,1,1,0,Month-to-month,No,1,1,0,Electronic check,29.87,1120.41,0
C00227,25,59,3,0,1,Month-to-month,Fiber optic,0,1,1,Electronic check,59.2,1546.31,1
C00228,18,36,3,1,0,Two year,No,0,1,1,Bank transfer,43.12,648.36,0
C00229,66,50,2,0,1,Two year,Fiber optic,0,0,0,Mailed check,57.17,3778.69,0
C00230,54,51,3,0,1,One year,Fiber optic,1,0,1,Credit card,42.05,2297.9,0
C00231,35,33,1,1,0,Month-to-month,Fiber optic,0,1,1,Mailed check,62.31,2236.61,0
C00232,61,61,1,1,0,Month-to-month,DSL,1,1,0,Electronic check,50.39,3118.51,0
C00233,41,57,3,1,0,One year,No,1,0,1,Credit card,30.96,1282.47,0
C00234,33,72,2,0,0,Month-to-month,Fiber optic,0,0,0,Mailed check,45.32,1560.34,1
C00235,68,35,1,1,1,Two year,Fiber optic,0,0,1,Credit card,53.5,3706.39,0
C00236,33,51,2,1,1,Month-to-month,Fiber optic,0,0,1,Mailed check,52.19,1754.76,1
C00237,14,42,4,1,1,Month-to-month,DSL,0,1,0,Electronic check,52.03,677.83,1
C00238,21,62,2,1,1,Month-to-month,No,0,0,0,Credit card,26.87,571.86,1
C00239,48,23,3,1,1,Month-to-month,DSL,0,0,0,Credit card,37.56,1843.94,0
C00240,20,38,2,0,0,One year,No,0,0,0,Mailed check,34.03,666.71,0
C00241,8,23,1,1,0,Month-to-month,DSL,1,1,1,Electronic check,46.04,403.25,0
C00242,7,49,3,0,0,One year,Fiber optic,1,0,1,Electronic check,59.1,410.29,0
C00243,67,58,1,1,0,Month-to-month,Fiber optic,1,1,1,Mailed check,54.42,3617.73,0
C00244,17,65,3,1,0,Month-to-month,No,0,0,1,Bank transfer,40.19,690.71,0
C00245,33,60,1,0,0,One year,No,1,0,0,Electronic check,44.97,1415.57,0
C00246,48,56,2,0,0,Month-to-month,No,0,0,0,Electronic check,26.32,1276.0,0
C00247,59,48,1,0,0,One year,Fiber optic,0,0,0,Credit card,50.31,2932.49,0
C00248,22,59,1,0,1,One year,DSL,0,0,0,Credit card,40.61,922.32,1
C00249,30,27,1,1,0,One year,Fiber optic,0,0,0,Electronic check,49.33,1423.09,0
C00250,38,47,4,0,0,Month-to-month,Fiber optic,0,1,1,Electronic check,49.99,1995.39,0
C00251,51,74,4,1,1,Two year,Fiber optic,1,0,0,Electronic check,55.52,2780.36,0
C00252,54,69,1,1,0,Two year,Fiber optic,0,1,1,Credit card,47.6,2613.24,0
C00253,8,35,4,1,0,Month-to-month,Fiber optic,0,0,0,Mailed check,57.68,453.97,1
C00254,27,41,3,0,0,One year,Fiber optic,0,0,0,Mailed check,58.01,1592.31,0
C00255,27,69,2,0,0,Month-to-month,No,1,0,1,Electronic check,41.74,1163.6,0
C00256,21,26,1,0,1,Month-to-month,No,1,1,1,Electronic check,47.09,978.9,1
C00257,30,48,3,1,0,Month-to-month,Fiber optic,1,0,1,Electronic check,58.71,1753.02,0
C00258,28,32,2,0,0,Two year,Fiber optic,0,0,1,Mailed check,45.45,1263.18,0
C00259,64,21,3,0,0,One year,Fiber optic,1,0,0,Bank transfer,48.43,3001.5,0
C00260,69,57,3,1,1,Month-to-month,DSL,0,1,1,Electronic check,39.63,2776.17,0
C00261,61,26,3,0,0,Month-to-month,DSL,1,1,1,Credit card,52.26,3189.94,0
C00262,48,62,2,1,1,Two year,DSL,1,0,1,Mailed check,38.31,1821.88,0
C00263,19,26,1,0,0,Month-to-month,DSL,0,1,1,Mailed check,45.87,864.96,0
C00264,4,43,1,0,1,Month-to-month,DSL,1,0,0,Bank transfer,47.78,168.99,1
C00265,35,21,1,0,1,Two year,No,0,0,1,Electronic check,29.08,915.79,0
C00266,64,34,1,0,1,One year,Fiber optic,0,1,1,Electronic check,55.19,3510.26,1
C00267,49,33,2,0,0,Month-to-month,Fiber optic,1,1,1,Electronic check,73.03,3578.1,0
C00268,17,32,2,1,1,Month-to-month,Fiber optic,0,1,1,Electronic check,54.84,891.7,1
C00269,44,52,3,0,0,Two year,Fiber optic,1,0,1,Mailed check,57.02,2511.45,0
C00270,30,74,1,0,1,Two year,DSL,0,0,0,Bank transfer,45.88,1418.81,0
C00271,46,69,2,0,0,Month-to-month,DSL,1,1,1,Credit card,54.53,2478.61,0
C00272,6,22,1,0,0,Month-to-month,No,1,0,1,Bank transfer,39.17,163.07,1
C00273,37,72,1,0,0,Month-to-month,Fiber optic,1,1,1,Bank transfer,61.37,2273.18,1
C00274,24,22,1,0,0,Month-to-month,Fiber optic,0,1,1,Credit card,56.39,1374.69,0
C00275,46,37,2,0,0,One year,Fiber optic,0,0,1,Bank transfer,40.9,1967.24,0
C00276,53,32,1,1,0,Month-to-month,DSL,1,0,0,Electronic check,53.68,2820.77,0
C00277,60,35,2,1,0,One year,Fiber optic,1,0,1,Bank transfer,52.04,3124.11,0
C00278,63,64,1,0,1,One year,Fiber optic,0,0,1,Electronic check,54.39,3487.27,0
C00279,32,19,3,1,0,One year,Fiber optic,0,1,0,Bank transfer,53.83,1679.59,0
C00280,33,46,3,0,0,Two year,DSL,1,0,1,Mailed check,60.57,2026.62,0
C00281,67,30,4,1,1,Month-to-month,No,1,0,1,Mailed check,30.86,2093.78,0
C00282,18,21,3,0,0,Month-to-month,DSL,1,1,0,Electronic check,61.83,1143.84,0
C00283,25,59,3,0,0,One year,Fiber optic,1,0,1,Mailed check,54.36,1329.7,0
C00284,54,62,3,1,0,Two year,Fiber optic,0,0,1,Bank transfer,53.65,2851.13,0
C00285,58,27,2,0,0,Month-to-month,Fiber optic,1,1,1,Bank transfer,60.09,3472.45,0
C00286,67,48,1,1,0,Two year,Fiber optic,0,1,0,Electronic check,62.93,4215.68,0
C00287,46,58,1,0,0,Month-to-month,DSL,0,0,1,Credit card,40.65,1802.95,0
C00288,24,25,1,0,1,Month-to-month,Fiber optic,0,1,0,Electronic check,56.61,1384.64,1
C00289,32,20,2,0,0,Month-to-month,DSL,0,0,0,Credit card,40.52,1338.63,0
C00290,47,65,2,0,0,Two year,DSL,0,1,0,Bank transfer,47.83,2185.54,0
C00291,23,63,3,1,1,Month-to-month,DSL,1,0,1,Electronic check,40.36,973.23,1
C00292,66,26,4,0,0,Month-to-month,Fiber optic,1,0,0,Electronic check,43.95,2842.35,0
